UniqId,Position,Block,Trt,LorR,Species,ML,Combos,Of_exp,Seed_Number
407L,407,2,Intra,L,H,Ihed-4.3,Ihed-4.15-Ihed-4.3,R,160
407R,407,2,Intra,R,H,Ihed-4.15,Ihed-4.15-Ihed-4.3,R,50
408L,408,2,Alone,L,H,Ihed-4.15,Ihed-4.15,R,232
409L,409,2,Inter,L,H,Ihed-4.1,Ihed-4.1-Ip-4.12,R,264
409R,409,2,Inter,R,P,Ip-4.12,Ihed-4.1-Ip-4.12,R,383
411L,411,2,Inter,L,H,Ihed-4.4,Ihed-4.4-Ip-4.17,R,260
411R,411,2,Inter,R,P,Ip-4.17,Ihed-4.4-Ip-4.17,R,171
414R,414,2,Alone,R,H,Ihed-4.7,Ihed-4.7,O,35
415L,415,2,Intra,L,H,Ihed-4.7,Ihed-4.15-Ihed-4.7,R,97
415R,415,2,Intra,R,H,Ihed-4.15,Ihed-4.15-Ihed-4.7,R,86
416L,416,2,Inter,L,H,Ihed-4.3,Ihed-4.3-Ip-4.11,R,106
416R,416,2,Inter,R,P,Ip-4.11,Ihed-4.3-Ip-4.11,R,147
418L,418,2,Intra,L,H,Ihed-4.12,Ihed-4.12-Ihed-4.2,O,1340
418R,418,2,Intra,R,H,Ihed-4.2,Ihed-4.12-Ihed-4.2,O,456
421L,421,2,Inter,L,P,Ip-4.17,Ihed-4.3-Ip-4.17,O,935
421R,421,2,Inter,R,H,Ihed-4.3,Ihed-4.3-Ip-4.17,O,579
422R,422,2,Intra,R,H,Ihed-4.1,Ihed-4.1-Ihed-4.12,R,155
423L,423,2,Inter,L,P,Ip-4.15,Ihed-4.2-Ip-4.15,O,1056
423R,423,2,Inter,R,H,Ihed-4.2,Ihed-4.2-Ip-4.15,O,808
428L,428,2,Inter,L,H,Ihed-4.7,Ihed-4.7-Ip-4.13,R,527
428R,428,2,Inter,R,P,Ip-4.13,Ihed-4.7-Ip-4.13,R,124
431L,431,2,Intra,L,H,Ihed-4.2,Ihed-4.2-Ihed-4.3,O,1527
431R,431,2,Intra,R,H,Ihed-4.3,Ihed-4.2-Ihed-4.3,O,1106
432L,432,2,Alone,L,H,Ihed-4.3,Ihed-4.3,O,1125
435L,435,2,Inter,L,H,Ihed-4.1,Ihed-4.1-Ip-4.14,O,1547
435R,435,2,Inter,R,P,Ip-4.14,Ihed-4.1-Ip-4.14,O,2803
437L,437,2,Alone,L,H,Ihed-4.9,Ihed-4.9,O,2114
438L,438,2,Inter,L,P,Ip-4.15,Ihed-4.15-Ip-4.15,O,1876
438R,438,2,Inter,R,H,Ihed-4.15,Ihed-4.15-Ip-4.15,O,583
441L,441,2,Alone,L,H,Ihed-4.7,Ihed-4.7,O,1010
446L,446,2,Alone,L,H,Ihed-4.2,Ihed-4.2,O,797
448L,448,2,Inter,L,H,Ihed-4.12,Ihed-4.12-Ip-4.18,O,1580
448R,448,2,Inter,R,P,Ip-4.18,Ihed-4.12-Ip-4.18,O,107
449L,449,2,Inter,L,H,Ihed-4.12,Ihed-4.12-Ip-4.16,R,43
449R,449,2,Inter,R,P,Ip-4.16,Ihed-4.12-Ip-4.16,R,83
