Position,UniqId,Block,Trt,ML,Species,Combos,Of_exp,TotalProjStr,AreaConvexHull,MaxWidth,rootangle_right,rootangle_left,AvAng
232,232R,1,Inter,Ip-4.17,P,Ihed-4.4-Ip-4.17,O,300.3353271,57.04175568,5.89887619,60.59999847,97.09999847,29.40000153
234,234L,1,Inter,Ihed-4.15,H,Ihed-4.15-Ip-4.17,O,272.1081543,113.5253143,11.59293079,35.59999847,40.70000076,51.85000039
234,234R,1,Inter,Ip-4.17,P,Ihed-4.15-Ip-4.17,O,250.0035553,50.70759201,4.801030159,79.09999847,68.30000305,16.29999924
235,235L,1,Inter,Ihed-4.15,H,Ihed-4.15-Ip-4.15,O,250.9451904,58.73581314,6.537921429,68.09999847,90.80000305,21.90000153
235,235R,1,Inter,Ip-4.15,P,Ihed-4.15-Ip-4.15,O,494.6672668,81.36410522,7.84059,53.29999924,72.90000153,26.89999962
236,236L,1,Inter,Ip-4.14,P,Ihed-4.2-Ip-4.14,O,358.614563,74.9797287,8.29119873,67.5,54.70000076,28.89999962
236,236R,1,Inter,Ihed-4.2,H,Ihed-4.2-Ip-4.14,O,220.2245026,41.57378387,3.54751873,69.40000153,67.5,21.54999924
237,237L,1,Inter,Ip-4.17,P,Ihed-4.7-Ip-4.17,O,349.4343872,59.61788177,5.775983334,62.90000153,59.5,28.79999924
237,237R,1,Inter,Ihed-4.7,H,Ihed-4.7-Ip-4.17,O,248.7899475,81.40074921,9.495552063,75.90000153,96.69999695,14.09999847
243,243L,2,Alone,Ihed-4.15,H,Ihed-4.15,O,350.5523682,62.39813232,7.816011429,85.19999695,59.09999847,17.85000229
245,245L,2,Intra,Ihed-4.12,H,Ihed-4.12-Ihed-4.7,O,302.341156,55.26231384,6.882022381,73.40000153,76.40000153,15.09999847
245,245R,2,Intra,Ihed-4.7,H,Ihed-4.12-Ihed-4.7,O,199.655838,56.99779129,6.521535397,79,73.80000305,13.59999848
249,249L,2,Inter,Ihed-4.4,H,Ihed-4.4-Ip-4.12,O,311.8556519,79.62741852,7.930711746,76.40000153,71.40000153,16.09999847
249,249R,2,Inter,Ip-4.12,P,Ihed-4.4-Ip-4.12,O,281.0700684,49.19678116,7.349016666,71.30000305,94.5,18.69999695
24,24L,1,Alone,Ihed-4.4,H,Ihed-4.4,O,163.8562927,52.20847321,6.079119682,91.30000305,76.40000153,13.59999847
254,254L,2,Intra,Ihed-4.3,H,Ihed-4.1-Ihed-4.3,O,283.5223694,71.80278015,7.455524445,64.40000153,88.09999847,13.75
