Id,Experiment,Population,Code,Species,ML,PrimaryRootLength,Angle_1,Angle_2,RootSystemWidth,AvAng,Total.Area
100,1,PA3,PA 3.3 Ihed,Ihed,PA 3.3 Ihed,13.1185034,81.76870242,37.71563415,9.787427075,59.74216828,2.369
101,2,OC1,OC 1.2 Ip,Ip,OC 1.2 Ip,12.23163265,33.0786401,39.09345546,8.420560988,36.08604778,11.04272382
102,1,PA4,PA 4.12 Ip,Ip,PA 4.12 Ip,14.93863946,48.83991205,43.64577826,9.823310368,46.24284515,1.425
104,2,PA1,PA 1.4 Ip,Ip,PA 1.4 Ip,11.13897959,20.79037632,44.6204344,2.095051357,32.70540536,0.813
105,1,PA1,PA 1.15 Ihed,Ihed,PA 1.15 Ihed,1.292108844,38.76380028,20.04675427,11.39015727,29.40527727,1.378
106,1,PA3,PA 3.17 Ihed,Ihed,PA 3.17 Ihed,15.06333333,40.31396902,34.8728766,12.02127012,37.59342281,4.474
107,1,PA1,PA 1.1 Ihed,Ihed,PA 1.1 Ihed,15.47136054,42.04181977,31.1120445,10.13065239,36.57693213,3.957
107,2,PA4,PA 4.4 Ihed,Ihed,PA 4.4 Ihed,11.60571429,11.6688989,35.18769641,2.586075317,23.42829765,0.716
108,1,PA4,PA 4.17 Ip,Ip,PA 4.17 Ip,15.64414966,24.11467284,46.50729716,8.683666499,35.310985,2.007
108,2,PA3,PA 3.9 Ihed,Ihed,PA 3.9 Ihed,12.06013605,64.68869214,32.08066972,5.365178242,48.38468093,3.393
110,1,PA4,PA 4.9 Ihed,Ihed,PA 4.9 Ihed,15.54789116,33.00164805,28.52740733,10.99117954,30.76452769,3.68
112,1,OC1,OC 1.2 Ip,Ip,OC 1.2 Ip,15.75469388,45.33575892,50.02002269,14.71705113,47.67789081,6.221
112,2,PA1,PA 1.18 Ihed,Ihed,PA 1.18 Ihed,13.47836735,23.10945616,16.37806479,6.488506566,19.74376048,4.63
113,1,PA1,PA 1.14 Ihed,Ihed,PA 1.14 Ihed,17.45489796,39.49907058,37.77942941,11.95281636,38.63924999,6.556
113,2,PA1,PA 1.4 Ip,Ip,PA 1.4 Ip,10.37231293,47.77260604,37.26579501,4.583977206,42.51920052,1.863
114,1,PA4,PA 4.15 Ip,Ip,PA 4.15 Ip,17.57952381,35.59700341,27.467708,9.729519766,31.53235571,3.527
114,2,PA1,PA 1.2 Ihed,Ihed,PA 1.2 Ihed,0.424353741,25.46639321,30.19976588,6.618629013,27.83307954,4.203
115,1,PA1,PA 1.4 Ihed,Ihed,PA 1.4 Ihed,17.13748299,27.53809556,20.63455736,12.51080719,24.08632646,4.539
115,2,PA4,PA 4.17 Ip,Ip,PA 4.17 Ip,12.44380952,18.66888946,23.90696219,4.285147271,21.28792582,3.308
116,1,PA3,PA 3.9 Ihed,Ihed,PA 3.9 Ihed,16.76346939,27.80160998,23.99872699,11.91067149,25.90016849,5.153
117,2,PA4,PA 4.7 Ihed,Ihed,PA 4.7 Ihed,12.7355102,20.19762006,37.97471925,8.972351344,29.08616966,8.431216137
118,1,OC1,OC 1.7 Ip,Ip,OC 1.7 Ip,0.612040816,27.51831365,44.58012902,9.135596434,36.04922134,4.436
119,1,PA1,PA 1.15 Ihed,Ihed,PA 1.15 Ihed,17.05816327,17.13387994,34.65844139,13.27751246,25.89616066,5.233
119,2,PA1,PA 1.2 Ihed,Ihed,PA 1.2 Ihed,0.816870748,34.0040573,27.63476112,7.34603247,30.81940921,3.554
120,1,PA1,PA 1.2 Ihed,Ihed,PA 1.2 Ihed,17.93095238,33.02901644,16.73170006,9.528315752,24.88035825,2.931
120,2,PA1,PA 1.5 Ihed,Ihed,PA 1.5 Ihed,12.71965986,14.05426664,26.50759498,6.258576091,20.28093081,4.37
121,1,PA1,PA 1.5 Ihed,Ihed,PA 1.5 Ihed,16.62748299,31.23191376,28.61048671,10.28868725,29.92120024,3.938
121,2,PA4,PA 4.2 Ihed,Ihed,PA 4.2 Ihed,0.300612245,25.5873115,30.27322345,5.025633123,27.93026748,3.551
123,1,PA3,PA 3.9 Ihed,Ihed,PA 3.9 Ihed,15.43734694,37.00808602,32.55362213,7.700511524,34.78085408,1.93
123,2,OC1,OC 1.5 Ip,Ip,OC 1.5 Ip,12.42258503,40.62834156,29.74170455,4.79603781,35.18502306,3.777
124,1,PA1,PA 1.1 Ihed,Ihed,PA 1.1 Ihed,15.94741497,22.41617469,21.28262988,9.86143517,21.84940229,4.91
124,2,PA4,PA 4.15 Ip,Ip,PA 4.15 Ip,12.28469388,30.72085128,41.0939735,3.348256585,35.90741239,2.826
125,2,PA4,PA 4.13 Ip,Ip,PA 4.13 Ip,9.590136054,19.10124834,35.89233172,2.045888522,27.49679003,1.929493826
126,1,PA4,PA 4.12 Ip,Ip,PA 4.12 Ip,16.08340136,33.99038103,23.88111377,6.660241492,28.9357474,2.462
127,2,PA3,PA 3.3 Ihed,Ihed,PA 3.3 Ihed,6.683401361,17.89668745,9.88659191,3.557989807,13.89163968,2.616646244
129,2,PA2,PA 2.4 Ihed,Ihed,PA 2.4 Ihed,11.81795918,20.67682769,14.25392114,4.581824918,17.46537442,7.180664247
131,2,OC1,OC 1.3 Ip,Ip,OC 1.3 Ip,9.088027211,16.46641088,17.68690732,1.654477936,17.0766591,1.796787256
132,2,OC1,OC 1.3 Ip,Ip,OC 1.3 Ip,0.120204082,3.612141734,22.24840293,0.832007275,12.93027233,1.256052126
134,2,PA3,PA 3.14 Ihed,Ihed,PA 3.14 Ihed,11.71183673,58.09130396,15.80671971,8.088618064,36.94901184,4.39626732
135,2,PA4,PA 4.19 Ip,Ip,PA 4.19 Ip,11.45721088,54.13603997,44.55570103,3.028531665,49.3458705,5.804505608
136,2,PA2,PA 2.2 Ihed,Ihed,PA 2.2 Ihed,11.59863946,12.43001653,19.34728533,5.896280847,15.88865093,8.352937977
138,2,PA1,PA 1.9 Ihed,Ihed,PA 1.9 Ihed,12.22102041,24.12331022,27.64887838,8.409091798,25.8860943,9.034574135
